INFO  2017-09-25 15:15:39,961 [9    ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:15:40,005 [9    ] MIConsoleTester.Program                  -           TEST STARTED
INFO  2017-09-25 15:15:40,005 [9    ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:22:57,200 [9    ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:22:57,209 [9    ] MIConsoleTester.Program                  -           TEST STARTED
INFO  2017-09-25 15:22:57,209 [9    ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:23:11,491 [10   ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:23:11,499 [10   ] MIConsoleTester.Program                  -           TEST STARTED
INFO  2017-09-25 15:23:11,499 [10   ] MIConsoleTester.Program                  - ***********************************
INFO  2017-09-25 15:25:30,472 [10   ] MIConsoleTester.Program                  - 


<<<<<<<<<< TEST STARTED >>>>>>>>>>
INFO  2017-09-25 15:25:30,479 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-25 15:26:39,326 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-25 15:26:39,337 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-25 15:26:45,053 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-25 15:26:45,062 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-25 15:33:56,093 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

INFO  2017-09-25 15:33:56,100 [9    ] MIConsoleTester.Program                  - <<<<<<<<<< TEST FINISHED >>>>>>>>>>



INFO  2017-09-25 15:33:59,403 [10   ] MIConsoleTester.Program                  - <<<<<<<<<< TEST STARTED >>>>>>>>>>

